instance_id,mode,samples,active_resource_count_proxy,lambda_msg,predicted_second_moment_bound,estimate_mean,estimate_abs_error_from_target_1,sample_variance,standard_error,runtime_s,status
fallback_0000,leaf_local,20000,16,0.26236426446749106,1.69,1.00339625,0.0033962499999999896,0.10560082228486431,0.0022978340049366526,0.0005999160930514336,microbenchmark_not_qnlp_simulator
fallback_0001,path_active,20000,10,0.5933931414226378,3.2765344143999995,0.9985117334700618,0.0014882665299381648,0.3276518817316333,0.004047541733766517,8.850009180605412e-05,microbenchmark_not_qnlp_simulator
fallback_0002,chain_active,20000,32,8.395656462959716,19605347.643076185,3.4851694961340063,2.4851694961340063,612673.4307599204,5.534769330152433,8.591706864535809e-05,microbenchmark_not_qnlp_simulator
fallback_0003,clustered,20000,3,0.7870927934024734,4.826809000000003,0.9932349944458152,0.0067650055541848,1.6077553150137518,0.008965922470704707,8.491706103086472e-05,microbenchmark_not_qnlp_simulator
fallback_0004,grid_stabilizer_compressed,20000,16,1.0494570578699645,8.157307210000004,0.9939664887499999,0.006033511250000068,0.5098547257758579,0.005049033203375959,8.49580392241478e-05,microbenchmark_not_qnlp_simulator
fallback_0005,dense_like_active,20000,10,2.623642644674911,190.04963774880818,0.98779348878692,0.012206511213080029,19.00492880399893,0.030826067543557132,8.474988862872124e-05,microbenchmark_not_qnlp_simulator
fallback_0007,mixed,20000,25,0.26236426446749106,1.69,1.000936,0.0009360000000000479,0.06759947539776989,0.0018384704974212926,8.412497118115425e-05,microbenchmark_not_qnlp_simulator
fallback_0008,leaf_local,20000,64,0.26236426446749106,1.69,0.9981373437500001,0.0018626562499999277,0.026404982172546134,0.0011490209348081117,8.633313700556755e-05,microbenchmark_not_qnlp_simulator
fallback_0009,path_active,20000,36,0.9244220183777844,6.352472052513341,1.0018576363204148,0.0018576363204148016,0.1764572323161196,0.00297033021999339,8.558412082493305e-05,microbenchmark_not_qnlp_simulator
fallback_0010,chain_active,20000,32,8.395656462959716,19605347.643076185,8.494645015900277,7.494645015900277,612598.9267136742,5.534432792588931,8.479203097522259e-05,microbenchmark_not_qnlp_simulator
fallback_0011,clustered,20000,31,8.133292198492224,11600797.421938566,-2.808541478053043,3.808541478053043,374234.61543276417,4.325705811961582,8.283299393951893e-05,microbenchmark_not_qnlp_simulator
fallback_0012,grid_stabilizer_compressed,20000,49,5.509649553817313,61040.88152628597,0.47619438617430704,0.523805613825693,1245.5904547932842,0.24955865591011706,7.54999928176403e-05,microbenchmark_not_qnlp_simulator
fallback_0013,dense_like_active,20000,7,1.8365498512724379,39.37376385699293,1.0256479279873314,0.025647927987331398,5.621560791186041,0.016765382177549727,7.816683501005173e-05,microbenchmark_not_qnlp_simulator
fallback_0015,mixed,20000,13,0.26236426446749106,1.69,1.002418492855542,0.002418492855541965,0.1299795421771089,0.002549309143445621,7.487507537007332e-05,microbenchmark_not_qnlp_simulator
fallback_0016,leaf_local,20000,32,0.26236426446749106,1.69,0.9984315487709807,0.0015684512290192743,0.052814417717760916,0.0016250295030823428,7.483293302357197e-05,microbenchmark_not_qnlp_simulator
fallback_0017,path_active,20000,36,0.9244220183777844,6.352472052513341,0.997656951173748,0.0023430488262520255,0.17646499683685427,0.002970395569927129,7.658288814127445e-05,microbenchmark_not_qnlp_simulator
fallback_0018,chain_active,20000,32,8.395656462959716,19605347.643076185,-3.324586288548261,4.324586288548261,612694.2195945347,5.534863230444519,9.91669949144125e-05,microbenchmark_not_qnlp_simulator
fallback_0019,clustered,20000,3,0.7870927934024734,4.826809000000003,0.9964060907993393,0.0035939092006607165,1.6075199963090665,0.008965266299193423,9.116716682910919e-05,microbenchmark_not_qnlp_simulator
fallback_0020,grid_stabilizer_compressed,20000,25,1.5741855868049466,23.298085122481012,1.00830211148,0.00830211147999993,0.9318220438416708,0.006825767516703418,8.795806206762791e-05,microbenchmark_not_qnlp_simulator
fallback_0021,dense_like_active,20000,10,2.623642644674911,190.04963774880818,1.003923521461348,0.003923521461348001,19.003655977933622,0.030825035261888692,8.404208347201347e-05,microbenchmark_not_qnlp_simulator
fallback_0023,mixed,20000,3,0.26236426446749106,1.69,1.002601925213148,0.0026019252131479487,0.5625985747287364,0.005303765524270169,8.675013668835163e-05,microbenchmark_not_qnlp_simulator
fallback_0024,leaf_local,20000,64,0.26236426446749106,1.69,0.9983485937500002,0.0016514062499998206,0.026405617274613737,0.0011490347530560975,8.541694842278957e-05,microbenchmark_not_qnlp_simulator
fallback_0025,path_active,20000,69,1.0899364568553578,8.845182085919575,1.0006626293220997,0.0006626293220997059,0.12819605852592134,0.0025317588602187346,8.51659569889307e-05,microbenchmark_not_qnlp_simulator
fallback_0026,chain_active,20000,32,8.395656462959716,19605347.643076185,9.747013895841842,8.747013895841842,612572.4581709289,5.5343132282647725,7.766694761812687e-05,microbenchmark_not_qnlp_simulator
fallback_0027,clustered,20000,7,1.8365498512724379,39.37376385699293,1.0161612439233252,0.016161243923325186,5.622600310527832,0.016766932203787062,7.320800796151161e-05,microbenchmark_not_qnlp_simulator
fallback_0028,grid_stabilizer_compressed,20000,36,1.5741855868049466,23.298085122481012,0.9982480471037037,0.0017519528962962605,0.6472011582570898,0.005688590151597713,7.283315062522888e-05,microbenchmark_not_qnlp_simulator
fallback_0029,dense_like_active,20000,8,2.098914115739929,66.54166091831806,1.0273984144109614,0.027398414410961358,8.314097549181655,0.020388841984259005,7.333396933972836e-05,microbenchmark_not_qnlp_simulator
fallback_0031,mixed,20000,51,0.26236426446749106,1.69,1.0007352843264758,0.0007352843264758491,0.033137718846726644,0.0012872008166313182,7.324991747736931e-05,microbenchmark_not_qnlp_simulator
fallback_0032,leaf_local,20000,64,0.26236426446749106,1.69,0.9999410937500001,5.890624999993488e-05,0.02640753235161759,0.0011490764193824881,8.558295667171478e-05,microbenchmark_not_qnlp_simulator
fallback_0033,path_active,20000,36,0.9244220183777844,6.352472052513341,0.994380416759348,0.005619583240652037,0.17644655257078182,0.0029702403317810985,8.633406832814217e-05,microbenchmark_not_qnlp_simulator
fallback_0034,chain_active,20000,32,8.395656462959716,19605347.643076185,3.1720772761486185,2.1720772761486185,612676.4207249341,5.53478283550915,8.370820432901382e-05,microbenchmark_not_qnlp_simulator
fallback_0035,clustered,20000,7,1.8365498512724379,39.37376385699293,0.9805861786833019,0.01941382131669811,5.62489535323049,0.016770353832329374,8.350005373358727e-05,microbenchmark_not_qnlp_simulator
